CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
40588,NS14NE 10,Yonderfield,"Lithic Implement(S) (Quartz), Lithic Implement(S) (Flint)",219500,648000,NORTH AYRSHIRE,AYRSHIRE,WEST KILBRIDE,NS 195 480,http://canmore.org.uk/site/40588
40611,NS14NE 9,Ardneil,"Unidentified Flint(S) (Flint), Unidentified Pottery (Medieval)",218100,648900,NORTH AYRSHIRE,AYRSHIRE,WEST KILBRIDE,NS 181 489,http://canmore.org.uk/site/40611
40838,NS20NW 14,Maidens,Unidentified Flint(S) (Flint),221000,607500,SOUTH AYRSHIRE,AYRSHIRE,KIRKOSWALD,NS 210 075,http://canmore.org.uk/site/40838
40902,NS20SW 22,Dowhill,Unidentified Flint(S) (Flint),220400,603500,SOUTH AYRSHIRE,AYRSHIRE,KIRKOSWALD,NS 204 035,http://canmore.org.uk/site/40902
40927,NS21NE 15,Low Glenayes,"Unidentified Flint(S) (Flint), Unidentified Pottery (Medieval)",228200,618200,SOUTH AYRSHIRE,AYRSHIRE,MAYBOLE,NS 282 182,http://canmore.org.uk/site/40927
40928,NS21NE 16,Fisherton,Unidentified Flint(S) (Flint),225800,616600,SOUTH AYRSHIRE,AYRSHIRE,MAYBOLE,NS 258 166,http://canmore.org.uk/site/40928
41017,NS24NW 29,"West Kilbride, Chapelton","Unidentified Flint(S) (Flint), Unidentified Pottery (Medieval)",220800,646500,NORTH AYRSHIRE,AYRSHIRE,WEST KILBRIDE,NS 208 465,http://canmore.org.uk/site/41017
41066,NS24SE 20,Stevenston Sands,"Armlet(S), Arrowhead(S), Gouge, Knife(S), Ring(S), Scraper (Tool)(S)",228000,641000,NORTH AYRSHIRE,AYRSHIRE,STEVENSTON,NS 28 41,http://canmore.org.uk/site/41066
42610,NS40SE 15,Loch Doon,Lithic Implement(S) (Flint),248200,601600,EAST AYRSHIRE,AYRSHIRE,DALMELLINGTON,NS 482 016,http://canmore.org.uk/site/42610
45372,NS69NW 6,Cardross,Implement (Antler)(Mesolithic),260000,697000,STIRLING,PERTHSHIRE,PORT OF MENTEITH,NS 60 97,http://canmore.org.uk/site/45372
46052,NS79NE 8,Park Of Keir,"Findspot (19th Century), Hammer (Stone)(Mesolithic)",278000,699000,STIRLING,PERTHSHIRE,DUNBLANE AND LECROPT,NS 78 99,http://canmore.org.uk/site/46052
46079,NS79NW 32,Meiklewood,Mattock (Antler),272000,695000,STIRLING,STIRLINGSHIRE,GARGUNNOCK,NS 72 95,http://canmore.org.uk/site/46079
47121,NS89NW 18,Airthrey Castle,"Animal Remains, Axe (Antler)(Mesolithic)",281700,696400,STIRLING,STIRLINGSHIRE,LOGIE (STIRLING),NS 817 964,http://canmore.org.uk/site/47121
